gene,importance
KCNE3,0.0002654073564430013
CENPF,0.000261650173857225
HIST1H1E,0.00026106154446627267
LRRC37A4P,0.0002610342528116424
MPO,0.0002592662704891538
SAMHD1,0.00025879671957795906
MS4A6A,0.00025817799466943303
HNRNPU,0.00025126662576715266
BPI,0.00025012441522638535
ZNF667-AS1,0.0002487753267180018
COX7A2L,0.0002480845127435696
NLN,0.00024711298098211245
MS4A3,0.00024668847565438795
NAMPT,0.000245279133347304
IGLL5,0.00024510584244169785
NOP58,0.00024411933720256795
PLIN2,0.00024187937079140194
EXOSC4,0.00023994201112340226
FPR1,0.00023480383772561537
VPREB1,0.00023215532088381702
SNORD89,0.0002301385657931472
SLC39A14,0.0002292517098369278
CAMK2D,0.0002291775423381884
PAG1,0.00022887090465173866
ANGPT1,0.00022298927077900806
MRPL58,0.00022142586275521
C11orf58,0.0002213795452628496
POP7,0.0002194047636977528
IL2RG,0.00021885209371533872
BCL2A1,0.0002174300681022318
CD34,0.00021735716441029283
TOR1AIP1,0.00021591083459286423
NUSAP1,0.00021127973368240583
XAF1,0.00020846934218198283
PSMB5,0.00020787078447590812
INTS10,0.00020740375068455013
ACADVL,0.00020740242906385324
ADD2,0.00020537588694352008
C5orf51,0.00020446026011500484
RAB27A,0.00020422494461210308
CDKN1A,0.00020256564804518065
GOT2,0.00019762358059460618
CSGALNACT2,0.00019517124529010908
MPC2,0.0001950821187332024
CD3G,0.0001929270140974509
ID2,0.00019217727280312826
CGGBP1,0.0001901728030519907
MKI67,0.00018977639467744644
LRRC70,0.00018915203240651881
NBPF8,0.00018748165985713283
RRP1B,0.00018722410723920717
TP53INP1,0.00018609875747552677
SLC25A36,0.00018520912292893473
GON7,0.00018440208799192312
SAFB,0.00018365312849488567
DNAJC12,0.0001830191937322244
ASPM,0.00018277282183357498
CD79B,0.00018273053239988113
HIST1H2AM,0.0001821460561147237
IFT57,0.00018054184516937954
HP,0.00017993363993897273
EBPL,0.00017897270356938066
IFI30,0.0001779907321031623
WASHC4,0.00017622173094223098
ERLIN1,0.0001723056119896639
CCR1,0.0001700792136631318
FCAR,0.00016985099361676074
AZU1,0.00016850071769211727
UTP23,0.00016598076555060455
C21orf33,0.00016572772915240074
ETS1,0.00016503487799206763
MAN2B1,0.00016440654828751174
SMARCD1,0.00016261934214299465
IGSF6,0.000162186232996087
IRX5,0.00016217018860355527
ELMSAN1,0.00016008030663982074
SATB1,0.00015961690031316686
SNHG12,0.0001592933993668755
NEK7,0.00015735531612061902
ANKRD36BP2,0.00015604977719821153
RBM5,0.0001558108102414962
SYNE2,0.00015526474812457115
SERPINB2,0.0001547549313223474
HBA1,0.00015279952793269359
AKAP12,0.00015236564214894183
RHAG,0.0001505015530569506
C1orf228,0.00015008253876394674
SKAP1,0.00014956062533580432
STAG2,0.00014902593050246808
ATMIN,0.00014820886204069535
FLI1,0.00014806795725437008
HBBP1,0.00014805379383295568
SLC40A1,0.00014752640409898082
ITGAE,0.00014678147233815122
PXDN,0.00014447088022142163
CAMLG,0.00014311911162159062
USP39,0.00014311087993031308
MRPL54,0.0001430946160010494
SDCCAG8,0.0001430281590937787
TMIGD2,0.00014060387169857706
ZRANB2,0.0001401735128397811
CDC16,0.0001377604472828712
CLC,0.00013603594023864604
CLEC5A,0.00013595274545095663
MRPS31,0.0001355141575172677
UBE2G1,0.00013318918832707
GID8,0.00013314917883505212
PSMD10,0.00013232806842020136
TPD52,0.0001318611411050325
SPIRE1,0.0001310191879968478
EXOSC3,0.0001309167684696336
IFI44,0.0001299615615737531
KRT17,0.00012965433738185237
MAP1A,0.00012945299135145696
TBC1D9B,0.00012766843079116974
SMIM7,0.00012667877105294615
SPPL2A,0.0001253421627492689
SPAG16,0.0001252244387906056
RIPK2,0.00012485126791642962
SMIM10,0.00012459137128549856
AGPS,0.00012447576137830394
CHD1L,0.00012436242145889772
CLEC7A,0.00012430686558827662
SMIM3,0.00012377425635470705
APH1B,0.00012343549195069567
MYD88,0.0001232495002426931
ZNF827,0.00012296908682388126
PRG2,0.00012289493684323262
CACNA2D4,0.0001227271763339292
CENPE,0.00012214593430713233
FAM98A,0.00012172130020581371
CAPRIN2,0.00012165119596168392
NUDT16L1,0.00012152295527797247
EZH2,0.00012131405678970208
DOK1,0.00012035153918334157
STAT5A,0.00012034392796558868
FPR2,0.00012016809852511662
TUBA4A,0.00011977761367866786
LAMTOR3,0.00011940718767758839
EPHB6,0.0001185560512519345
UHRF1BP1L,0.00011840997669035286
TADA3,0.00011801507161146837
CNPY3,0.00011786822518256978
NINJ1,0.00011774758315146873
WDFY3,0.00011754850077913565
EBF1,0.00011721870522852455
EPSTI1,0.00011683330594446903
THBS1,0.0001167795274927421
STX3,0.0001167186694497631
BCL2L12,0.00011596977085152851
GIMAP4,0.0001143750502438233
ZHX1,0.00011369375057669391
XYLT1,0.00011341475826713866
DRAM1,0.00011173225675910299
ZMYM2,0.00011171308178613625
BAHCC1,0.00011165425601483127
SKP2,0.000110422040770961
AKT3,0.00010989140925631477
PHACTR1,0.00010987676707647264
ACPP,0.0001095861901030418
CNN2,0.00010857678388254678
NSMCE1,0.0001079364716087884
CEACAM8,0.0001076807547716327
HPGD,0.00010762340076004006
ACBD3,0.00010726578548164117
ZZZ3,0.00010660849312611917
TMCO3,0.00010586968793141779
SUCO,0.00010574732470815437
GFI1,0.00010562881268414935
STEAP4,0.00010478117865150049
SH3BP1,0.00010476755969745397
IL18,0.00010443091697438338
SDF2,0.00010403462457170405
YTHDF1,0.00010374785772414198
MRGBP,0.0001032797671292593
USP36,0.00010295031845805772
RHOH,0.00010271883708616257
MAPKAP1,0.00010246508877235033
RNF113A,0.00010230509327214674
DPP7,0.00010178622992260283
F13A1,0.00010172906695679874
GPAA1,0.00010164273626194079
ZNF184,0.00010051615828532839
FASTKD3,0.00010015679612776442
SCYL2,9.995705213401124e-05
FXYD5,9.98868050977716e-05
SACM1L,9.986918994239002e-05
METTL23,9.973692641679429e-05
DCTN1,9.912757192572142e-05
ICA1,9.821349410944671e-05
PTPRCAP,9.80714711472903e-05
VCPIP1,9.792388344956507e-05
CUEDC2,9.787804823767884e-05
CAVIN1,9.745593713329893e-05
C9orf72,9.740873077727859e-05
APOBEC3A,9.740318425194554e-05
POLB,9.721032518754482e-05
B3GALNT1,9.717631152634573e-05
LRRC41,9.679940817684465e-05
CYSLTR1,9.66589716857948e-05
CCNT2,9.641932350623654e-05
LOC100190986,9.615010961716487e-05
BATF,9.580655473445729e-05
AP1G1,9.566007543496644e-05
LRIF1,9.431656128117128e-05
LRRC8C,9.421273305389432e-05
STT3A,9.400431857075852e-05
DSN1,9.38263267459716e-05
TRIM58,9.377849198506882e-05
TSFM,9.328777519743209e-05
TEC,9.313227238478233e-05
C12orf29,9.306480455164806e-05
RAD18,9.248857382993337e-05
FAM13A,9.23113793807895e-05
C15orf61,9.214252455786901e-05
COG2,9.167569669340522e-05
TFG,9.162002187990539e-05
PLA2G4A,9.126600224100887e-05
ARL2BP,9.114513374158329e-05
ELF4,9.095453269500087e-05
PRSS2,9.088233281879278e-05
CD55,9.064977426908993e-05
CNN3,9.061922214198541e-05
CREBRF,9.00717985065294e-05
RWDD2B,8.978693077212547e-05
PRPF6,8.964616474915232e-05
USP28,8.950592538311903e-05
MIGA1,8.912148829312118e-05
NFRKB,8.892348711451226e-05
BEND5,8.885428436267893e-05
IKZF3,8.853220413036586e-05
EBLN3P,8.847343657068697e-05
GATB,8.836223835902629e-05
